source,slug,status,severity,score,summary,issues
static,alarm-habit,,Pass,90,cards=14; paragraphs=16; faq=true,
static,cooking-music,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-presentation,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-recipe,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-seasoning,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-share,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-shared,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-solo,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-style,,Pass,90,cards=11; paragraphs=10; faq=true,
static,cooking-time,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-timing,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cstore-routine,,Pass,90,cards=10; paragraphs=11; faq=true,
static,cvs-combo,,Pass,90,cards=11; paragraphs=12; faq=true,
static,dessert-style,,Pass,90,cards=10; paragraphs=11; faq=true,
static,dinner-preference,,Pass,90,cards=8; paragraphs=13; faq=true,
static,door-closing,,Pass,90,cards=12; paragraphs=13; faq=true,
static,drink-preference,,Pass,90,cards=12; paragraphs=13; faq=true,
static,evening-cleaning,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-entertainment,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-exercise,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-meal,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-reflection,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-routine,,Pass,90,cards=10; paragraphs=11; faq=true,
static,evening-sleep-prep,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-snack,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-social,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-wind-down,,Pass,90,cards=11; paragraphs=18; faq=true,
static,evening-work,,Pass,90,cards=11; paragraphs=18; faq=true,
static,food-allergy,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-aroma,,Pass,90,cards=8; paragraphs=13; faq=true,
static,food-bitterness,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-brand,,Pass,90,cards=8; paragraphs=8; faq=true,
static,food-budget,,Pass,90,cards=10; paragraphs=12; faq=true,
static,food-chewy,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-color-preference,,Pass,90,cards=8; paragraphs=13; faq=true,
static,food-combination,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-creamy,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-crispy,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-crunchy,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-delivery,,Pass,90,cards=10; paragraphs=9; faq=true,
static,food-delivery-app,,Pass,90,cards=10; paragraphs=12; faq=true,
static,food-dipping,,Pass,90,cards=8; paragraphs=13; faq=true,
static,food-garnishing,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-garnishing-style,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-label,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-layering,,Pass,90,cards=8; paragraphs=13; faq=true,
static,food-mixing,,Pass,90,cards=8; paragraphs=13; faq=true,
static,food-new,,Pass,90,cards=10; paragraphs=12; faq=true,
static,food-ordering,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-photography,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-plating,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-portion,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-presentation,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-reheating,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-review,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-sale,,Pass,90,cards=10; paragraphs=12; faq=true,
static,food-saltiness,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-scooping,,Pass,90,cards=8; paragraphs=13; faq=true,
static,food-seasoning,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-sharing,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-sourness,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-spiciness,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-storage,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-sweetness,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-temperature,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-temperature-preference,,Pass,90,cards=8; paragraphs=13; faq=true,
static,food-texture,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-timing,,Pass,90,cards=11; paragraphs=10; faq=true,
static,food-umami,,Pass,90,cards=10; paragraphs=11; faq=true,
static,food-waste,,Pass,90,cards=11; paragraphs=10; faq=true,
static,game-play-style,,Pass,90,cards=12; paragraphs=13; faq=true,
static,gift-choosing,,Pass,90,cards=12; paragraphs=13; faq=true,
static,gift-wrapping,,Pass,90,cards=12; paragraphs=13; faq=true,
static,grocery-shopping,,Pass,90,cards=10; paragraphs=12; faq=true,
static,hamburger-combo,,Pass,90,cards=11; paragraphs=12; faq=true,
static,hotel-breakfast,,Pass,90,cards=8; paragraphs=8; faq=true,
static,instagram-story,,Pass,90,cards=12; paragraphs=13; faq=true,
static,investment-style,,Pass,90,cards=8; paragraphs=8; faq=true,
static,jachui,,Pass,90,cards=10; paragraphs=9; faq=true,
static,kakao-reply-style,,Pass,90,cards=10; paragraphs=11; faq=true,
static,karaoke-song,,Pass,90,cards=12; paragraphs=13; faq=true,
static,kdrama-character,,Pass,90,cards=10; paragraphs=11; faq=true,
static,kdrama-mbti,,Pass,90,cards=5; paragraphs=24; faq=true,
static,kimbap-ingredient,,Pass,90,cards=12; paragraphs=13; faq=true,
static,kpop-idol,,Pass,90,cards=5; paragraphs=27; faq=true,
static,laundry-habit,,Pass,90,cards=12; paragraphs=13; faq=true,
static,leftover-handling,,Pass,90,cards=11; paragraphs=10; faq=true,
static,love-reaction,,Pass,90,cards=11; paragraphs=12; faq=true,
static,love-texting-style,,Pass,90,cards=10; paragraphs=11; faq=true,
static,lunch-decider,,Pass,90,cards=10; paragraphs=11; faq=true,
static,lunch-preference,,Pass,90,cards=8; paragraphs=13; faq=true,
static,lunchbox-style,,Pass,90,cards=12; paragraphs=13; faq=true,
static,market-choice,,Pass,90,cards=10; paragraphs=12; faq=true,
static,meal-balance,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-cleanup,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-duration,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-etiquette,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-frequency,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-group,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-leftover,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-order,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-pacing,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-planning,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-prep,,Pass,90,cards=12; paragraphs=13; faq=true,
static,meal-preparation,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-serving,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-sharing,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-social,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meal-solo,,Pass,90,cards=8; paragraphs=13; faq=true,
static,meat-grilling,,Pass,90,cards=12; paragraphs=13; faq=true,
static,meeting-villain,,Pass,90,cards=8; paragraphs=8; faq=true,
static,midnight-snack,,Pass,90,cards=8; paragraphs=13; faq=true,
static,mirror-habit,,Pass,90,cards=12; paragraphs=13; faq=true,
static,morning-alarm,,Pass,90,cards=13; paragraphs=19; faq=true,
static,morning-breakfast,,Pass,90,cards=11; paragraphs=18; faq=true,
static,morning-coffee,,Pass,90,cards=11; paragraphs=18; faq=true,
static,morning-commute,,Pass,90,cards=11; paragraphs=18; faq=true,
static,morning-energy,,Pass,90,cards=11; paragraphs=18; faq=true,
static,morning-mood,,Pass,90,cards=11; paragraphs=18; faq=true,
static,morning-outfit,,Pass,90,cards=11; paragraphs=18; faq=true,
static,morning-phone,,Pass,90,cards=13; paragraphs=19; faq=true,
static,morning-rush,,Pass,90,cards=11; paragraphs=18; faq=true,
static,morning-shower,,Pass,90,cards=11; paragraphs=18; faq=true,
static,movie-theater-style,,Pass,90,cards=10; paragraphs=9; faq=true,
static,music-taste,,Pass,90,cards=10; paragraphs=9; faq=true,
static,noodle-eating,,Pass,90,cards=12; paragraphs=13; faq=true,
static,ntrp-test,,Pass,90,cards=15; paragraphs=12; faq=true,
static,online-food,,Pass,90,cards=10; paragraphs=12; faq=true,
static,ott-habits,,Pass,90,cards=11; paragraphs=12; faq=true,
static,pet-mbti,,Pass,90,cards=14; paragraphs=14; faq=true,
static,phone-app-organization,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-backup,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-battery,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-message,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-notification,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-payment,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-photo,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-search,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-social-media,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-storage,,Pass,90,cards=11; paragraphs=18; faq=true,
static,phone-style,,Pass,90,cards=9; paragraphs=12; faq=true,
static,phone-usage,,Pass,90,cards=15; paragraphs=19; faq=true,
static,pizza-topping,,Pass,90,cards=12; paragraphs=13; faq=true,
static,ramen-mbti,,Pass,90,cards=13; paragraphs=14; faq=true,
static,restaurant-ambiance,,Pass,90,cards=10; paragraphs=12; faq=true,
static,restaurant-choice,,Pass,90,cards=12; paragraphs=13; faq=true,
static,restaurant-menu,,Pass,90,cards=10; paragraphs=12; faq=true,
static,restaurant-price,,Pass,90,cards=10; paragraphs=12; faq=true,
static,restaurant-reservation,,Pass,90,cards=10; paragraphs=12; faq=true,
static,restaurant-service,,Pass,90,cards=10; paragraphs=12; faq=true,
static,rice-eating,,Pass,90,cards=12; paragraphs=13; faq=true,
static,salad-dressing,,Pass,90,cards=12; paragraphs=13; faq=true,
static,shopping-style,,Pass,90,cards=10; paragraphs=11; faq=true,
static,shower-habit,,Pass,90,cards=12; paragraphs=13; faq=true,
static,skin-routine,,Pass,90,cards=9; paragraphs=12; faq=true,
static,sleep-chronotype,,Pass,90,cards=10; paragraphs=13; faq=true,
static,snack-preference,,Pass,90,cards=8; paragraphs=13; faq=true,
static,snack-time,,Pass,90,cards=12; paragraphs=13; faq=true,
static,snowwhite-mbti,,Pass,90,cards=17; paragraphs=19; faq=true,
static,sock-wearing,,Pass,90,cards=12; paragraphs=13; faq=true,
static,soup-eating,,Pass,90,cards=12; paragraphs=13; faq=true,
static,soup-vs-bibim,,Pass,90,cards=12; paragraphs=13; faq=true,
static,spending-style,,Pass,90,cards=9; paragraphs=12; faq=true,
static,spice-tolerance,,Pass,90,cards=8; paragraphs=8; faq=true,
static,stew-vs-soup,,Pass,90,cards=12; paragraphs=13; faq=true,
static,store-choice,,Pass,90,cards=10; paragraphs=12; faq=true,
static,study-mbti,,Pass,90,cards=13; paragraphs=14; faq=true,
static,subway-vs-bus,,Pass,90,cards=12; paragraphs=13; faq=true,
static,taste-preference,,Pass,90,cards=12; paragraphs=13; faq=true,
static,travel-style,,Pass,90,cards=10; paragraphs=9; faq=true,
static,water-drinking,,Pass,90,cards=12; paragraphs=13; faq=true,
static,weekend-balance,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-chore,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-food,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-hobby,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-lazy,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-planning,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-rest,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-shopping,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-social,,Pass,90,cards=11; paragraphs=18; faq=true,
static,weekend-travel,,Pass,90,cards=11; paragraphs=18; faq=true,
static,youtube-habit,,Pass,90,cards=13; paragraphs=13; faq=true,
static,zombie-survival,,Pass,90,cards=8; paragraphs=8; faq=true,
database,asset-account-split-wave6,draft,Pass,90,results=16/16; avgSummary=230; thinRows=0,
database,asset-advisor-meet-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-bond-buy-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-credit-score-wave6,draft,Pass,90,results=16/16; avgSummary=202; thinRows=0,
database,asset-crypto-decide-wave6,draft,Pass,90,results=16/16; avgSummary=202; thinRows=0,
database,asset-dividend-pick-wave6,draft,Pass,90,results=16/16; avgSummary=279; thinRows=0,
database,asset-donation-set-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-etf-allocate-wave6,draft,Pass,90,results=16/16; avgSummary=230; thinRows=0,
database,asset-financial-news-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-fixed-deposit-wave6,draft,Pass,90,results=16/16; avgSummary=263; thinRows=0,
database,asset-fund-pick-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-installment-saving-wave6,draft,Pass,90,results=16/16; avgSummary=285; thinRows=0,
database,asset-insurance-review-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-loan-compare-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-monthly-budget-wave6,draft,Pass,90,results=16/16; avgSummary=263; thinRows=0,
database,asset-mortgage-plan-wave6,draft,Pass,90,results=16/16; avgSummary=230; thinRows=0,
database,asset-pension-add-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-rainy-day-fund-wave6,draft,Pass,90,results=16/16; avgSummary=185; thinRows=0,
database,asset-real-estate-look-wave6,draft,Pass,90,results=16/16; avgSummary=185; thinRows=0,
database,asset-saving-rate-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-spending-track-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-stock-buy-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-stock-sell-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,asset-tax-deduction-wave6,draft,Pass,90,results=16/16; avgSummary=263; thinRows=0,
database,asset-wealth-record-wave6,draft,Pass,90,results=16/16; avgSummary=247; thinRows=0,
database,bond-club-greet-wave5,draft,Pass,90,results=16/16; avgSummary=161; thinRows=0,
database,bond-cousin-call-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-friend-distance-wave5,draft,Pass,90,results=16/16; avgSummary=162; thinRows=0,
database,bond-friend-parent-wave5,draft,Pass,90,results=16/16; avgSummary=158; thinRows=0,
database,bond-friend-quarrel-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-friend-wedding-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,bond-greet-length-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-holiday-message-wave5,draft,Pass,90,results=16/16; avgSummary=158; thinRows=0,
database,bond-inlaw-title-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-junior-care-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-kind-thanks-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-new-colleague-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-new-family-wave5,draft,Pass,90,results=16/16; avgSummary=160; thinRows=0,
database,bond-old-classmate-wave5,draft,Pass,90,results=16/16; avgSummary=154; thinRows=0,
database,bond-parent-check-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-parent-meet-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,bond-partner-promise-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-reconcile-step-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-relative-meet-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-secret-share-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-senior-care-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-shared-meal-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-sibling-tone-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,bond-soft-refusal-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,bond-wellbeing-card-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,buy-after-ad-wave5,draft,Pass,90,results=16/16; avgSummary=149; thinRows=0,
database,buy-after-impulse-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,buy-collection-start-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,buy-color-pick-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,buy-demo-try-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,buy-eco-tag-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,buy-first-try-wave5,draft,Pass,90,results=16/16; avgSummary=152; thinRows=0,
database,buy-friend-recommend-wave5,draft,Pass,90,results=16/16; avgSummary=152; thinRows=0,
database,buy-gift-receipt-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,buy-installment-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,buy-item-dispose-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,buy-label-check-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,buy-luxury-review-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,buy-membership-join-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,buy-new-card-wave5,draft,Pass,90,results=16/16; avgSummary=149; thinRows=0,
database,buy-new-launch-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,buy-points-use-wave5,draft,Pass,90,results=16/16; avgSummary=154; thinRows=0,
database,buy-regular-shop-wave5,draft,Pass,90,results=16/16; avgSummary=155; thinRows=0,
database,buy-review-write-wave5,draft,Pass,90,results=16/16; avgSummary=156; thinRows=0,
database,buy-size-compare-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,buy-store-loop-wave5,draft,Pass,90,results=16/16; avgSummary=149; thinRows=0,
database,buy-store-staff-wave5,draft,Pass,90,results=16/16; avgSummary=152; thinRows=0,
database,buy-subscribe-set-wave5,draft,Pass,90,results=16/16; avgSummary=149; thinRows=0,
database,buy-vintage-pick-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,buy-visit-count-wave5,draft,Pass,90,results=16/16; avgSummary=152; thinRows=0,
database,care-before-work-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,care-breath-count-wave5,draft,Pass,90,results=16/16; avgSummary=146; thinRows=0,
database,care-diary-close-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-digital-detox-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,care-feeling-diary-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-ground-feet-wave5,draft,Pass,90,results=16/16; avgSummary=201; thinRows=0,
database,care-mindful-step-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-mirror-greet-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-morning-meditate-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-one-memo-wave5,draft,Pass,90,results=16/16; avgSummary=146; thinRows=0,
database,care-one-page-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,care-one-photo-wave5,draft,Pass,90,results=16/16; avgSummary=146; thinRows=0,
database,care-one-song-wave5,draft,Pass,90,results=16/16; avgSummary=146; thinRows=0,
database,care-one-tea-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-phone-away-wave5,draft,Pass,90,results=16/16; avgSummary=146; thinRows=0,
database,care-plant-look-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-rest-signal-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-scent-breath-wave5,draft,Pass,90,results=16/16; avgSummary=146; thinRows=0,
database,care-self-soothe-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-short-walk-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-sun-five-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-tidy-one-min-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-visualize-scene-wave5,draft,Pass,90,results=16/16; avgSummary=198; thinRows=0,
database,care-walk-meditate-wave5,draft,Pass,90,results=16/16; avgSummary=164; thinRows=0,
database,care-warm-water-wave5,draft,Pass,90,results=16/16; avgSummary=154; thinRows=0,
database,career-after-party-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,career-approval-hold-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-board-use-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,career-business-trip-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-commute-route-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,career-company-event-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-desk-tidy-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,career-external-meet-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-first-greet-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-hr-review-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,career-leave-apply-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-lunch-invite-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,career-lunch-pick-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,career-mail-tone-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,career-meeting-seat-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-new-mentor-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,career-next-week-plan-wave5,draft,Pass,90,results=16/16; avgSummary=148; thinRows=0,
database,career-off-time-protect-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,career-overtime-call-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-progress-share-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-rest-timing-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-schedule-change-wave5,draft,Pass,90,results=16/16; avgSummary=150; thinRows=0,
database,career-slack-reply-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,career-title-call-wave5,draft,Pass,90,results=16/16; avgSummary=174; thinRows=0,
database,career-workshop-join-wave5,draft,Pass,90,results=16/16; avgSummary=157; thinRows=0,
database,choice-appointment-reschedule,draft,Pass,90,results=16/16; avgSummary=288; thinRows=0,
database,choice-crowded-place-response,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-daily-route-change,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-elevator-wait-choice,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-lost-and-found-action,draft,Pass,90,results=16/16; avgSummary=282; thinRows=0,
database,choice-lost-direction-ask,draft,Pass,90,results=16/16; avgSummary=288; thinRows=0,
database,choice-lost-receipt-handling,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-new-place-adaptation,draft,Pass,90,results=16/16; avgSummary=288; thinRows=0,
database,choice-noise-complaint-style,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-plan-b-ready,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-public-device-use,draft,Pass,90,results=16/16; avgSummary=288; thinRows=0,
database,choice-public-manner-check,draft,Pass,90,results=16/16; avgSummary=285; thinRows=0,
database,choice-queue-line-choice,draft,Pass,90,results=16/16; avgSummary=297; thinRows=0,
database,choice-repair-or-replace,draft,Pass,90,results=16/16; avgSummary=294; thinRows=0,
database,choice-schedule-overlap-choice,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-seat-choice-public,draft,Pass,90,results=16/16; avgSummary=297; thinRows=0,
database,choice-small-risk-check,draft,Pass,90,results=16/16; avgSummary=291; thinRows=0,
database,choice-time-gap-filling,draft,Pass,90,results=16/16; avgSummary=300; thinRows=0,
database,choice-unexpected-call-response,draft,Pass,90,results=16/16; avgSummary=294; thinRows=0,
database,choice-waiting-message-send,draft,Pass,90,results=16/16; avgSummary=288; thinRows=0,
